strategy,family,symbol,fold_year,fold_type,horizon_ms,train_events,train_months,test_events,test_months,train_eligible,test_eligible,train_mean_bp,train_ci_low_bp,train_ci_high_bp,train_p_positive,train_p_two_sided,test_mean_bp,test_ci_low_bp,test_ci_high_bp,test_p_positive,test_p_two_sided,train_bh_q,train_by_q,train_family_bh_q,train_family_by_q,test_bh_q,test_by_q,test_family_bh_q,test_family_by_q,primary_selection,oos_positive,oos_survives_selection,oos_fdr_significant,selected_oos_fdr_significant,monitoring_only
btc_long_ret-3_oi-2_entry60_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,40,21,9,7,True,False,144.41369865751435,9.948868513189446,263.357406908595,0.0069965017491254375,0.025487256371814093,-42.382222706082004,-217.1496656466008,138.25464786018543,0.7066466766616691,0.6746626686656672,0.1199400299850075,0.7097038278383655,0.1107138738323146,0.6462715286955529,,,,,False,False,False,False,False,False
btc_long_ret-3_oinone_entry0_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,62,22,22,8,True,True,63.271541283039376,33.9810651911443,93.2612680677003,0.0004997501249375312,0.0004997501249375312,-51.68065936344701,-118.79563956970976,23.89237293673445,0.9335332333833083,0.16391804097951024,0.051974012993503245,0.307538325396625,0.047976011994003,0.28005099576807296,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-3_oinone_entry0_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,56,22,20,8,True,True,66.61627446117511,20.243018804739314,119.09391661583501,0.00849575212393803,0.01249375312343828,33.42804451903699,-140.89817912654323,184.3668296517434,0.33183408295852074,0.6941529235382309,0.12622260298422217,0.7468787902489465,0.11651317198543586,0.68012384686532,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oinone_entry0_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,50,22,16,8,True,True,154.50198612916466,28.54613797015499,259.0582755074258,0.0014992503748125937,0.010994502748625687,42.22940272044774,-149.94881305188372,231.24565656477859,0.3248375812093953,0.6796601699150425,0.06929868399133766,0.4100511005288334,0.063968015992004,0.37340132769076395,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oinone_entry30_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,62,22,22,8,True,True,52.87768423052631,12.778859307033414,88.21978866726896,0.001999000499750125,0.004497751124437781,-68.98435533789164,-124.88057621241398,-6.731302564148394,0.9940029985007496,0.0239880059970015,0.06929868399133766,0.4100511005288334,0.063968015992004,0.37340132769076395,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-3_oinone_entry30_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,56,22,20,8,True,True,68.94992749603736,18.59626394196168,121.57779321224926,0.0074962518740629685,0.011494252873563218,10.468862332626234,-135.61144907713236,122.80564630305739,0.4452773613193403,0.8770614692653673,0.1199400299850075,0.7097038278383655,0.1107138738323146,0.6462715286955529,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oinone_entry30_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,50,22,16,8,True,True,137.02919792296464,25.52585764800671,235.8347793742588,0.004497751124437781,0.008995502248875561,49.463080712998355,-181.51360972033453,236.40488231290175,0.33383308345827084,0.6466766616691654,0.1169415292353823,0.6919612321424063,0.10794602698650674,0.6301147404781641,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oinone_entry60_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,62,22,22,8,True,True,38.975176885042046,3.383451990939168,77.08295798184598,0.022488755622188907,0.037481259370314844,-66.42161129760972,-138.23199462321313,7.560659709507819,0.960519740129935,0.06496751624187906,0.17077175697865352,1.0,0.15763546798029557,0.9201675575236683,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-3_oinone_entry60_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,56,22,20,8,True,True,57.91676570832688,-0.27595914063664817,116.76105934151227,0.029985007496251874,0.05897051474262868,4.967210642583325,-169.4385315145307,149.40295558089494,0.47476261869065467,0.9460269865067467,0.18343769291824674,1.0,0.1693271011553047,0.9884152791814339,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-3_oinone_entry60_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,50,22,16,8,True,True,116.50760225931054,2.4633573993856266,226.905494840304,0.0239880059970015,0.06046976511744128,29.387118961914844,-175.68125004286418,213.17413860738293,0.383808095952024,0.7816091954022989,0.1720519050819418,1.0,0.15881714315256162,0.9270653653012069,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-5_oi-1_entry0_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,15,10,3,3,False,False,135.66065234919876,45.872849375431166,227.72964934281265,0.001999000499750125,0.004497751124437781,247.73152580704445,203.1893687510451,289.54608684589834,0.0004997501249375312,0.0004997501249375312,,,,,,,,,False,False,False,False,False,False
btc_long_ret-5_oi-1_entry0_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,15,10,3,3,False,False,246.2171274806968,137.9856707229326,376.7675181404133,0.001999000499750125,0.001999000499750125,551.3351060799805,122.17335428119712,1089.8777305219671,0.0004997501249375312,0.0004997501249375312,,,,,,,,,False,False,False,False,False,False
btc_long_ret-5_oi-1_entry0_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,15,10,3,3,False,False,190.30711799628867,19.14489983419581,383.7951457605828,0.026986506746626688,0.044977511244377814,556.398560518363,424.3851913551618,645.97530219714,0.0004997501249375312,0.0004997501249375312,,,,,,,,,False,False,False,False,False,False
btc_long_ret-5_oi-1_entry30_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,15,10,3,3,False,False,92.55595752234608,15.914223998731307,168.48594194463573,0.011494252873563218,0.019490254872563718,-94.58563828740223,-184.09631992201176,24.801615153196693,1.0,0.03948025987006497,,,,,,,,,False,False,False,False,False,False
btc_long_ret-5_oi-1_entry30_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,15,10,3,3,False,False,174.8119115741799,73.01446159357221,286.8637298814742,0.0014992503748125937,0.001999000499750125,252.5413590457359,-218.0043232704269,761.9683619239022,0.1664167916041979,0.3118440779610195,,,,,,,,,False,False,False,False,False,False
btc_long_ret-5_oi-1_entry30_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,15,10,3,3,False,False,133.84673488725036,-11.375781553589352,283.7666320469687,0.047476261869065464,0.08745627186406797,227.3565990243619,156.966976170579,336.23759461956683,0.0004997501249375312,0.0004997501249375312,,,,,,,,,False,False,False,False,False,False
