offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
32,6.053338661749872e-06,6113.0,-8.538935719300187e-06,976.0,1.1994491664586757e-05,2020.0,0.00013570591946860977,0.00025804025279696074,0.0003673458854306413
33,-3.696426739924087e-07,6113.0,-7.485822657553912e-06,976.0,-1.6624253732632716e-05,2020.0,0.00013533627679461737,0.00025055443013940684,0.0003507216316980086
34,-1.1039237398331276e-05,6113.0,-2.6416393416110557e-05,976.0,-2.234711078357127e-05,2020.0,0.00012429703939628608,0.00022413803672329628,0.00032837452091443733
35,5.752417917769739e-06,6113.0,-1.4091202630147634e-05,976.0,2.4379375198418763e-05,2020.0,0.00013004945731405582,0.00021004683409314864,0.0003527538961128561
36,-6.03147908128686e-06,6113.0,-4.594305177383729e-05,976.0,-3.892461340820968e-05,2020.0,0.00012401797823276896,0.00016410378231931135,0.00031382928270464643
37,-2.0705254743077496e-05,6113.0,1.4993680265128638e-05,976.0,-4.5952935048016225e-05,2020.0,0.00010331272348969146,0.00017909746258444,0.0002678763476566302
38,8.857062698533824e-06,6113.0,1.0408175985046324e-05,976.0,-3.333673539861811e-06,2020.0,0.00011216978618822528,0.00018950563856948632,0.0002645426741167684
39,9.498800830463297e-06,6113.0,-6.528834873160994e-06,976.0,3.8388595004447235e-05,2020.0,0.00012166858701868858,0.00018297680369632532,0.00030293126912121565
40,1.566281417125515e-07,6113.0,-1.5592418799015228e-05,976.0,-1.003561380241867e-05,2020.0,0.00012182521516040114,0.0001673843848973101,0.000292895655318797
41,-5.694473228211344e-06,6113.0,-2.2251657441826048e-05,976.0,-3.4650296741334133e-07,2020.0,0.0001161307419321898,0.00014513272745548405,0.00029254915235138365
42,-1.1031130503196818e-05,6113.0,8.14156790328188e-06,976.0,-2.754501662015882e-05,2020.0,0.00010509961142899298,0.00015327429535876594,0.0002650041357312248
43,1.073044336565493e-05,6113.0,-9.145633830256289e-06,976.0,1.7697769740548767e-05,2020.0,0.00011583005479464791,0.00014412866152850964,0.00028270190547177357
44,1.5517160911848162e-06,6113.0,1.4525244736365599e-05,976.0,-1.07528985893946e-05,2020.0,0.00011738177088583273,0.00015865390626487524,0.00027194900688237895
45,2.0882972887028223e-05,6113.0,1.517042291106139e-05,976.0,9.104786865692009e-06,2020.0,0.00013826474377286096,0.00017382432917593664,0.000281053793748071
46,-5.669975934977716e-06,6113.0,5.2470978315921374e-05,976.0,-6.287532788977108e-06,2020.0,0.00013259476783788324,0.000226295307491858,0.00027476626095909387
47,-6.331601840337172e-06,6113.0,-2.2384774260422917e-05,976.0,7.813644107503277e-06,2020.0,0.00012626316599754608,0.0002039105332314351,0.00028257990506659717
48,-9.707963875010762e-06,6113.0,1.3541686864889757e-05,976.0,-1.2026339337459912e-05,2020.0,0.00011655520212253531,0.00021745222009632485,0.00027055356572913724
49,-5.228629770560178e-06,6113.0,-6.580589816061505e-05,976.0,2.7165779845368486e-05,2020.0,0.00011132657235197514,0.0001516463219357098,0.00029771934557450575
50,-1.3701382390211934e-05,6113.0,-1.2951435258378978e-05,976.0,-8.02940377223456e-06,2020.0,9.76251899617632e-05,0.0001386948866773308,0.0002896899418022712
51,-4.311492080837012e-07,6113.0,6.289830410785386e-07,976.0,-2.800478698820789e-06,2020.0,9.71940407536795e-05,0.00013932386971840936,0.0002868894631034504
52,-7.582324814377484e-06,6113.0,-3.939589633710303e-06,976.0,-2.8575285753606466e-05,2020.0,8.961171593930202e-05,0.00013538428008469906,0.00025831417734984395
53,9.388345882938155e-06,6113.0,3.1756370896014875e-05,976.0,2.590333330739527e-06,2020.0,9.900006182224017e-05,0.00016714065098071394,0.0002609045106805835
54,1.3304371633350585e-05,6113.0,2.544807561314198e-06,976.0,3.4801728751099214e-05,2020.0,0.00011230443345559076,0.00016968545854202815,0.0002957062394316827
55,-5.57596089905706e-06,6113.0,-3.6354813429156736e-06,976.0,-7.791068022359259e-06,2020.0,0.0001067284725565337,0.00016604997719911246,0.00028791517140932345
56,-1.409388571837635e-05,6113.0,2.419064591133385e-05,976.0,-2.5265304246720065e-05,2020.0,9.263458683815735e-05,0.00019024062311044632,0.0002626498671626034
57,-4.76336385128833e-06,6113.0,2.1877492355526177e-06,976.0,1.8242031535678138e-05,2020.0,8.787122298686903e-05,0.00019242837234599894,0.0002808918986982815
58,-4.087475378550892e-06,6113.0,-5.184254846399283e-06,976.0,-6.791375364019126e-06,2020.0,8.378374760831814e-05,0.00018724411749959966,0.00027410052333426237
59,3.006882303063602e-05,6113.0,3.399805510870223e-05,976.0,3.661981392781327e-05,2020.0,0.00011385257063895416,0.00022124217260830189,0.00031072033726207564
60,-2.7555410575836848e-06,6113.0,-7.32343015172406e-05,976.0,1.6743097537274988e-05,2020.0,0.00011109702958137047,0.00014800787109106128,0.0003274634347993506
