ts,leg,net_bp,year
1707235200000,bottom,-910.2882626220114,2024
1707264000000,bottom,-952.4307180181195,2024
1707292800000,bottom,-1009.2275148805035,2024
1707321600000,bottom,-1012.7450615849402,2024
1707350400000,bottom,-779.111682551558,2024
1707379200000,bottom,-827.9299907941711,2024
1707408000000,bottom,-614.0387363157356,2024
1707436800000,bottom,-673.3285319831299,2024
1707465600000,bottom,-453.1984746866817,2024
1707494400001,bottom,-574.9311813865503,2024
1707523200001,bottom,-600.4435018727776,2024
1707552000000,bottom,-616.4970102034755,2024
1707580800000,bottom,-323.26985522190085,2024
1707609600000,bottom,-411.1218141698518,2024
1707638400001,bottom,-371.9638070122626,2024
1707667200000,bottom,-745.5148759283852,2024
1707696000000,bottom,-741.4417680079681,2024
1707724800000,bottom,-748.2395664675761,2024
1707753600000,bottom,-433.65148302112175,2024
1707782400000,bottom,-403.8948042718864,2024
1707811200000,bottom,-366.5673075769253,2024
1707840000000,bottom,-650.609395527481,2024
1707868800000,bottom,-516.6669700441589,2024
1707897600000,bottom,-424.144421851375,2024
1707955200000,bottom,6.981720616904951,2024
1707984000000,bottom,-3.8026188728794583,2024
1708012800000,bottom,22.991368680640015,2024
1708041600000,bottom,-68.42929201459722,2024
1708070400000,bottom,-144.1466056984779,2024
1708099200000,bottom,-64.34934312701411,2024
1708128000000,bottom,56.15021232948948,2024
1708156800000,bottom,-11.977389136846194,2024
1708473600000,bottom,276.36519823872675,2024
1708531200000,bottom,-8.740351281965474,2024
1708560000001,bottom,34.18984368672563,2024
1708646400000,bottom,-100.84571003236385,2024
1708675200000,bottom,-94.98604684036559,2024
1708732800000,bottom,-755.290632556455,2024
1708761600001,bottom,-1017.8067739449219,2024
1708790400000,bottom,-1124.4872723858116,2024
1708992000000,top,1218.9098608590439,2024
1709020800000,top,917.7318072122039,2024
1709136000000,top,103.97054009820008,2024
1709164800000,top,-81.07175508962382,2024
1709193600000,top,-184.46947168315342,2024
1709222400000,top,-122.83456256358004,2024
1709251200000,top,306.91705508336287,2024
1709280000000,top,414.2009735020043,2024
1709308800000,top,822.443843956276,2024
1709337600000,top,906.8121112395196,2024
1709366400001,top,674.1839148537572,2024
1709395200000,top,836.9271960246379,2024
1709424000000,top,277.6826518539062,2024
1709452800000,top,801.2813007181958,2024
1709481600000,top,689.7747098138581,2024
1709510400000,top,439.125197657207,2024
1709539200000,top,354.60636902133814,2024
1709568000000,top,113.58018263509419,2024
1709596800000,top,-216.51543013093064,2024
1709625600000,top,109.01494171947036,2024
1709654400000,top,96.44806823958365,2024
1709740800000,top,247.9706425930146,2024
1709827200000,top,266.89920972067307,2024
1709913600000,top,620.9690809204067,2024
1710057600000,top,500.660672707663,2024
1710086400000,top,463.3563400805036,2024
1710144000000,top,241.3063522368859,2024
1710172800000,top,-159.36515977689902,2024
1710259200000,top,-524.6279998386631,2024
1710316800001,top,-510.83961346568384,2024
1710547200000,bottom,262.58748418267544,2024
1710950400000,bottom,-261.45056183666406,2024
1711094400000,bottom,-113.03411174960297,2024
1711152000000,bottom,-988.0638707774574,2024
1711180800000,bottom,-896.3929278790743,2024
1711929600000,top,-760.9706129468001,2024
1712044800015,bottom,-63.06258632493055,2024
1712102400000,bottom,-368.4025637112758,2024
1712131200000,bottom,-288.5170938427099,2024
1712160000000,bottom,-349.9188019280279,2024
1712188800000,bottom,-462.4150624773564,2024
1712217600000,bottom,-515.4737205426179,2024
1712246400000,bottom,-312.05922147055463,2024
1712275200000,bottom,-156.14017477977015,2024
1712304000000,bottom,-584.7994984475739,2024
1712332800000,bottom,-551.1193125998918,2024
1712361600000,bottom,-575.6455718589198,2024
1712390400000,bottom,-359.80449667934056,2024
1712419200000,bottom,-189.17909707487124,2024
1712448000000,bottom,-50.08217508632494,2024
1712476800000,bottom,-8.118486548202451,2024
1712505600000,bottom,116.45063983274764,2024
1712534400001,bottom,-190.74713737706017,2024
1712563200000,bottom,-14.988478576138263,2024
1712764800000,bottom,138.63033082271284,2024
1712966400000,bottom,551.4402198453989,2024
1712995200000,bottom,576.7890581329311,2024
1713024000001,bottom,867.0203153336748,2024
1713052800000,bottom,13.251364522569155,2024
1713081600000,bottom,134.23647039462372,2024
1713110400000,bottom,590.676007468905,2024
1713139200000,bottom,632.4597722563182,2024
1713168000001,bottom,752.3553376403287,2024
1713196800000,bottom,161.83026658636535,2024
1713225600001,bottom,-22.436018957345137,2024
1713254400000,bottom,-180.4061318138277,2024
1713283200000,bottom,-441.210479309319,2024
1713312000000,bottom,-12.400898005511683,2024
1713340800000,bottom,-94.5757708515209,2024
1713369600000,bottom,-764.8026673252655,2024
1713398400000,bottom,-600.2781110975068,2024
1713427200000,bottom,-651.2759563957043,2024
1713456000000,bottom,-264.85493656922256,2024
1713484800001,bottom,-257.30185909517076,2024
1713513600000,bottom,-251.89742572293048,2024
1713542400000,bottom,-250.24429755143782,2024
1713600000000,bottom,-348.23431732875207,2024
1713628800000,bottom,-257.6644017779921,2024
1713657600000,bottom,-259.9918943426942,2024
1713686400000,bottom,-235.51019349133438,2024
1713744000000,bottom,96.53306979990074,2024
1713772800000,bottom,293.4489023467064,2024
1713801600000,bottom,272.2881526789296,2024
1713830400000,bottom,323.4607159655707,2024
1713859200000,bottom,272.2865346244092,2024
1713888000001,bottom,418.0341804059669,2024
1713916800000,bottom,390.9447084304769,2024
1713945600000,bottom,525.7469114941233,2024
1714032000000,bottom,1.6515300854598305,2024
1714060800010,bottom,93.53458582674291,2024
1714089600001,bottom,208.42129392126998,2024
1714118400000,bottom,269.0285644873443,2024
1714147200000,bottom,62.38821033785992,2024
1714233600000,bottom,330.2979913568156,2024
1714262400000,bottom,417.95468636477494,2024
1714291200000,bottom,998.5924801819808,2024
1714320000000,bottom,1053.8771068443805,2024
1714348800000,bottom,727.6376978915384,2024
1714665600002,bottom,-891.3053625030425,2024
1714694400000,bottom,-858.0714773325931,2024
1714723200000,bottom,-921.8093306288038,2024
1714780800000,bottom,-65.81809206231014,2024
1714896000000,bottom,220.5003154712766,2024
1714953600000,bottom,433.24057672180794,2024
1714982400000,bottom,488.2578435656877,2024
1715068800000,bottom,69.02043434781802,2024
1715241600000,bottom,63.69683224695845,2024
1715299200000,bottom,235.53147445227586,2024
1715472000000,bottom,-142.12138542868112,2024
1715500800000,bottom,-237.61884653521403,2024
1715760000000,bottom,-761.4120682223217,2024
1715788800000,bottom,-332.4026737422818,2024
1715817600004,bottom,-111.33424222864161,2024
1715932800000,bottom,-88.95761594394024,2024
1715961600000,bottom,-50.22757163686208,2024
1715990400000,bottom,-704.6801391706896,2024
1716048000000,bottom,-464.11360608772975,2024
1720195200000,bottom,117.71942278187521,2024
1720512000001,bottom,9.163253702359611,2024
1721059200000,bottom,-95.89668857351506,2024
1721088000000,bottom,97.17929187153153,2024
1721174400000,bottom,-279.7488193388291,2024
1721260800000,bottom,-485.6910514841421,2024
1721289600000,bottom,-328.38329888997754,2024
1721433600001,bottom,-116.4620562237688,2024
1721520000000,bottom,172.0481047456941,2024
