offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
-31,2.455015369182883e-05,6113.0,8.106041640306043e-05,1026.0,2.374610716955948e-05,2104.0,0.00010414624767139295,0.000252210395834664,1.9347398319699255e-05
-30,-1.5403779237755595e-05,6113.0,-1.3627313579152169e-05,1026.0,2.8667707162745203e-06,2104.0,8.874246843363735e-05,0.0002385830822555118,2.2214169035973777e-05
-29,-2.2560208248173166e-05,6113.0,9.213469899977722e-06,1026.0,-2.437252706665443e-05,2104.0,6.618226018546418e-05,0.0002477965521554895,-2.1583580306806528e-06
-28,1.2066430257656329e-05,6113.0,2.797271573395445e-05,1026.0,3.026604120863606e-05,2104.0,7.824869044312051e-05,0.00027576926788944395,2.8107683177955407e-05
-27,-1.975803801371785e-05,6113.0,1.79129721547267e-05,1026.0,-2.740738191099601e-05,2104.0,5.849065242940266e-05,0.00029368224004417066,7.003012669593978e-07
-26,1.5314603913828426e-05,6113.0,2.667206481378608e-05,1026.0,3.0673840571931364e-05,2104.0,7.38052563432311e-05,0.0003203543048579567,3.137414183889076e-05
-25,1.715298840034269e-06,6113.0,-1.807516957660758e-06,1026.0,-1.019496112116509e-05,2104.0,7.552055518326536e-05,0.00031854678790029596,2.117918071772567e-05
-24,-1.7829954062824224e-06,6113.0,-1.333603378201674e-05,1026.0,1.9663362808533463e-06,2104.0,7.373755977698293e-05,0.0003052107541182792,2.3145516998579018e-05
-23,2.502433800504176e-05,6113.0,4.458402314322677e-05,1026.0,6.508899382479312e-05,2104.0,9.876189778202469e-05,0.000349794777261506,8.823451082337214e-05
-22,4.054385211925515e-06,6113.0,-2.1686376932631814e-05,1026.0,4.323854514519709e-06,2104.0,0.00010281628299395021,0.0003281084003288742,9.255836533789185e-05
-21,-6.341299817686662e-06,6113.0,-3.5220952890825576e-05,1026.0,-4.222850189079169e-06,2104.0,9.647498317626355e-05,0.0002928874474380486,8.833551514881267e-05
-20,4.453023786895737e-06,6113.0,2.2942532656600134e-05,1026.0,3.4306163337725425e-05,2104.0,0.00010092800696315928,0.0003158299800946487,0.0001226416784865381
-19,-4.2514431983471555e-06,6113.0,1.9904644175770968e-05,1026.0,-2.587334154291518e-05,2104.0,9.667656376481212e-05,0.00033573462427041967,9.676833694362292e-05
-18,-8.38755893925464e-06,6113.0,1.2704939663684037e-05,1026.0,-8.081779437397e-06,2104.0,8.828900482555748e-05,0.0003484395639341037,8.868655750622593e-05
-17,8.633915596202448e-06,6113.0,2.4864741090358247e-05,1026.0,2.8031224335702975e-05,2104.0,9.692292042175993e-05,0.00037330430502446194,0.0001167177818419289
-16,1.0314222246915338e-05,6113.0,3.178213095708351e-05,1026.0,2.336504043442862e-05,2104.0,0.00010723714266867527,0.00040508643598154544,0.00014008282227635752
-15,-1.5185586380725713e-06,6113.0,2.886342490656125e-06,1026.0,-2.9377334854591616e-05,2104.0,0.0001057185840306027,0.00040797277847220157,0.0001107054874217659
-14,-1.574970945938604e-05,6113.0,-1.173265255172984e-05,1026.0,-4.38171252240225e-05,2104.0,8.996887457121665e-05,0.0003962401259204717,6.68883621977434e-05
